time_s,channel_MHz,signal_dBm,noise_dBm,SNR_dB,BER,AvgSNR(dB),AvgBER,RandSeed,RunDateTime
0.122064,5210.000000,-80.850871,-93.965985,13.115114,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-75.372540,-93.965985,18.593445,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-75.792848,-93.965985,18.173137,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-77.603865,-93.965985,16.362120,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-81.100423,-93.965985,12.865562,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-79.800982,-93.965985,14.165003,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-76.265029,-93.965985,17.700956,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-74.909183,-93.965985,19.056802,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122064,5210.000000,-77.157577,-93.965985,16.808409,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122124,5210.000000,-72.581214,-93.965985,21.384771,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122124,5210.000000,-73.513895,-93.965985,20.452091,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122124,5210.000000,-77.982622,-93.965985,15.983363,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122124,5210.000000,-72.569825,-93.965985,21.396160,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122124,5210.000000,-76.604772,-93.965985,17.361213,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122124,5210.000000,-79.657854,-93.965985,14.308131,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122124,5210.000000,-79.816194,-93.965985,14.149791,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122192,5210.000000,-77.784889,-93.965985,16.181096,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122192,5210.000000,-77.933849,-93.965985,16.032136,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122192,5210.000000,-79.858744,-93.965985,14.107241,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122192,5210.000000,-77.146570,-93.965985,16.819415,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122192,5210.000000,-76.328305,-93.965985,17.637680,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122192,5210.000000,-72.545485,-93.965985,21.420500,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122403,5210.000000,-74.365077,-93.965985,19.600908,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122403,5210.000000,-78.081749,-93.965985,15.884237,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122403,5210.000000,-72.599116,-93.965985,21.366869,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122403,5210.000000,-77.950951,-93.965985,16.015034,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122403,5210.000000,-81.038656,-93.965985,12.927329,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
