time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
1.20859010e-01,5210,OFDM,2,6.00000000e+00,-7.12696163e+01,-7.20021078e+01,7.32491514e-01,8.68286702e-06,-5.06133685e+01,12345,09-Dec-2025_16-49
1.20868007e-01,5210,OFDM,2,6.00000000e+00,-7.95315995e+01,-8.26687398e+01,3.13714021e+00,2.24439731e-09,-8.64890026e+01,12345,09-Dec-2025_16-49
1.20892005e-01,5210,OFDM,2,6.00000000e+00,-7.27096925e+01,-9.39659852e+01,2.12562927e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20892006e-01,5210,OFDM,2,6.00000000e+00,-7.28064748e+01,-9.39659852e+01,2.11595104e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931002e-01,5210,OFDM,2,6.00000000e+00,-8.18802899e+01,-9.39659852e+01,1.20856953e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931002e-01,5210,OFDM,2,6.00000000e+00,-7.86948114e+01,-9.39659852e+01,1.52711738e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931002e-01,5210,OFDM,2,6.00000000e+00,-8.10945956e+01,-9.39659852e+01,1.28713896e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931003e-01,5210,OFDM,2,6.00000000e+00,-7.74851752e+01,-9.39659852e+01,1.64808100e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931003e-01,5210,OFDM,2,6.00000000e+00,-7.92854266e+01,-9.39659852e+01,1.46805586e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931003e-01,5210,OFDM,2,6.00000000e+00,-7.77931474e+01,-9.39659852e+01,1.61728377e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931005e-01,5210,OFDM,2,6.00000000e+00,-8.06844150e+01,-9.39659852e+01,1.32815702e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931005e-01,5210,OFDM,2,6.00000000e+00,-7.84837763e+01,-9.39659852e+01,1.54822089e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991004e-01,5210,OFDM,2,6.00000000e+00,-7.60361969e+01,-9.39659852e+01,1.79297883e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991004e-01,5210,OFDM,2,6.00000000e+00,-7.37287357e+01,-9.39659852e+01,2.02372495e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991004e-01,5210,OFDM,2,6.00000000e+00,-8.14852917e+01,-9.39659852e+01,1.24806935e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991004e-01,5210,OFDM,2,6.00000000e+00,-7.84758431e+01,-9.39659852e+01,1.54901421e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991004e-01,5210,OFDM,2,6.00000000e+00,-7.64038543e+01,-9.39659852e+01,1.75621309e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991004e-01,5210,OFDM,2,6.00000000e+00,-7.52714775e+01,-9.39659852e+01,1.86945077e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991004e-01,5210,OFDM,2,6.00000000e+00,-7.25084227e+01,-9.39659852e+01,2.14575625e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20991005e-01,5210,OFDM,2,6.00000000e+00,-7.44185997e+01,-9.39659852e+01,1.95473855e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059004e-01,5210,OFDM,2,6.00000000e+00,-7.55875200e+01,-9.39659852e+01,1.83784652e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059004e-01,5210,OFDM,2,6.00000000e+00,-7.80666028e+01,-9.39659852e+01,1.58993823e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059004e-01,5210,OFDM,2,6.00000000e+00,-8.14731530e+01,-9.39659852e+01,1.24928322e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059005e-01,5210,OFDM,2,6.00000000e+00,-8.18189404e+01,-9.39659852e+01,1.21470448e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059005e-01,5210,OFDM,2,6.00000000e+00,-7.96757911e+01,-9.39659852e+01,1.42901940e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059005e-01,5210,OFDM,2,6.00000000e+00,-7.97023174e+01,-9.39659852e+01,1.42636678e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059006e-01,5210,OFDM,2,6.00000000e+00,-7.98283553e+01,-9.39659852e+01,1.41376299e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059007e-01,5210,OFDM,2,6.00000000e+00,-7.40077723e+01,-9.39659852e+01,1.99582129e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21059007e-01,5210,OFDM,2,6.00000000e+00,-7.75681044e+01,-9.39659852e+01,1.63978807e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21094007e-01,5210,OFDM,2,6.00000000e+00,-7.55258842e+01,-7.70131858e+01,1.48730166e+00,1.03728215e-06,-5.98410310e+01,12345,09-Dec-2025_16-49
1.21094007e-01,5210,OFDM,2,6.00000000e+00,-7.37716572e+01,-7.72460229e+01,3.47436569e+00,4.80455623e-10,-9.31834672e+01,12345,09-Dec-2025_16-49
1.21094007e-01,5210,OFDM,2,6.00000000e+00,-7.38182268e+01,-7.34581185e+01,-3.60108238e-01,6.42382665e-05,-4.19220619e+01,12345,09-Dec-2025_16-49
1.21094008e-01,5210,OFDM,2,6.00000000e+00,-7.70717838e+01,-7.80399623e+01,9.68178501e-01,4.68856967e-06,-5.32895963e+01,12345,09-Dec-2025_16-49
1.21094008e-01,5210,OFDM,2,6.00000000e+00,-7.77257685e+01,-7.75922255e+01,-1.33542990e-01,4.95310391e-05,-4.30512256e+01,12345,09-Dec-2025_16-49
1.21094008e-01,5210,OFDM,2,6.00000000e+00,-7.37920809e+01,-7.58038749e+01,2.01179397e+00,1.85526926e-07,-6.73159305e+01,12345,09-Dec-2025_16-49
1.21094009e-01,5210,OFDM,2,6.00000000e+00,-7.53066017e+01,-7.50514790e+01,-2.55122729e-01,5.76581633e-05,-4.23913920e+01,12345,09-Dec-2025_16-49
1.21094009e-01,5210,OFDM,2,6.00000000e+00,-7.15241863e+01,-7.64856285e+01,4.96144215e+00,1.20681243e-13,-1.29183602e+02,12345,09-Dec-2025_16-49
1.21094009e-01,5210,OFDM,2,6.00000000e+00,-7.01256095e+01,-7.51224583e+01,4.99684885e+00,9.58122470e-14,-1.30185790e+02,12345,09-Dec-2025_16-49
1.21121009e-01,5210,OFDM,2,6.00000000e+00,-7.11405174e+01,-8.05394026e+01,9.39888518e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21121011e-01,5210,OFDM,2,6.00000000e+00,-7.31409672e+01,-7.17860081e+01,-1.35495908e+00,8.33288861e-05,-4.07920442e+01,12345,09-Dec-2025_16-49
1.21154009e-01,5210,OFDM,2,6.00000000e+00,-7.26169748e+01,-9.39659852e+01,2.13490104e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21261009e-01,5210,OFDM,2,6.00000000e+00,-7.26720463e+01,-8.41436280e+01,1.14715817e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21317006e-01,5210,OFDM,2,6.00000000e+00,-7.54764009e+01,-9.39659852e+01,1.84895843e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21317006e-01,5210,OFDM,2,6.00000000e+00,-7.59319411e+01,-9.39659852e+01,1.80340441e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21377010e-01,5210,OFDM,2,6.00000000e+00,-7.83078983e+01,-8.40082544e+01,5.70035612e+00,6.66133815e-16,-1.51764385e+02,12345,09-Dec-2025_16-49
1.21377011e-01,5210,OFDM,2,6.00000000e+00,-7.62610108e+01,-8.57949536e+01,9.53394279e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21377011e-01,5210,OFDM,2,6.00000000e+00,-7.44626426e+01,-8.33086702e+01,8.84602760e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21377012e-01,5210,OFDM,2,6.00000000e+00,-7.69795911e+01,-8.31417172e+01,6.16212604e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.64219806e+01,-9.39659852e+01,1.75440046e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.67776659e+01,-9.39659852e+01,1.71883193e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.26420958e+01,-9.39659852e+01,2.13238894e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.60709764e+01,-9.39659852e+01,1.78950088e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
