time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
0.121259,5210,OFDM,2,6.000000,-79.675791,-93.965985,14.290194,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-79.702317,-93.965985,14.263668,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-79.828355,-93.965985,14.137630,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-74.007772,-93.965985,19.958213,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-77.568104,-93.965985,16.397881,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-80.164772,-93.965985,13.801213,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-77.973640,-93.965985,15.992345,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-75.476401,-93.965985,18.489584,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-76.480687,-93.965985,17.485298,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-81.515460,-93.965985,12.450525,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-77.131924,-93.965985,16.834061,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-75.931941,-93.965985,18.034044,0.000000,12345,24-Oct-2025_09-34
0.121319,5210,OFDM,2,6.000000,-76.814086,-93.965985,17.151899,0.000000,12345,24-Oct-2025_09-34
0.121377,5210,OFDM,2,6.000000,-78.307898,-84.008254,5.700356,0.000000,12345,24-Oct-2025_09-34
0.121377,5210,OFDM,2,6.000000,-76.261011,-85.794954,9.533943,0.000000,12345,24-Oct-2025_09-34
0.121377,5210,OFDM,2,6.000000,-74.462643,-83.308670,8.846028,0.000000,12345,24-Oct-2025_09-34
0.121377,5210,OFDM,2,6.000000,-76.979591,-83.141717,6.162126,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-80.322383,-93.965985,13.643602,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-78.870089,-93.965985,15.095896,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-77.745273,-93.965985,16.220713,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-77.389031,-93.965985,16.576954,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-75.522229,-93.965985,18.443756,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-79.264024,-93.965985,14.701961,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-72.672046,-93.965985,21.293939,0.000000,12345,24-Oct-2025_09-34
0.121387,5210,OFDM,2,6.000000,-77.113618,-93.965985,16.852367,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-76.421981,-93.965985,17.544005,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-76.777666,-93.965985,17.188319,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-72.642096,-93.965985,21.323889,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-76.070976,-93.965985,17.895009,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-77.440219,-93.965985,16.525766,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-74.537507,-93.965985,19.428478,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-77.451810,-93.965985,16.514175,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-74.654881,-93.965985,19.311104,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-79.569298,-93.965985,14.396687,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-78.470666,-93.965985,15.495319,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-76.946023,-93.965985,17.019962,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-72.467800,-93.965985,21.498185,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-79.744021,-93.965985,14.221964,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-74.443994,-93.965985,19.521991,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-74.270255,-93.965985,19.695730,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-75.531490,-93.965985,18.434495,0.000000,12345,24-Oct-2025_09-34
0.121412,5210,OFDM,2,6.000000,-74.248779,-93.965985,19.717206,0.000000,12345,24-Oct-2025_09-34
0.121472,5210,OFDM,2,6.000000,-80.444015,-85.216552,4.772537,0.000000,12345,24-Oct-2025_09-34
0.121472,5210,OFDM,2,6.000000,-78.253037,-82.290150,4.037113,0.000000,12345,24-Oct-2025_09-34
0.121472,5210,OFDM,2,6.000000,-77.938732,-83.832796,5.894064,0.000000,12345,24-Oct-2025_09-34
